occupation,p_automation,routineness,complexity,stratum,education_level,no_ed_requirement,hs_diploma_or_equiv,post_secondary_no_degree,associates,bachelors,masters,doctoral,occ_clean,TOT_EMP,industry,is_medical,is_programming,is_blue_collar,is_service
"Chief executives, public administrators, and legislators",0.015,0.161,0.979,5,Bachelor's or Master's degree,0,0,0,0,1,1,0,chief executives public administrators and legislators,3822780,Other,0,0,0,0
Financial managers,0.069,0.744,0.961,3,Bachelor's degree,0,0,0,0,1,0,0,financial managers,818620,Business & Finance,0,0,0,0
Human resources and labour relations managers,0.006,0.355,0.913,3,Bachelor's degree,0,0,0,0,1,0,0,human resources and labour relations managers,280550,Business & Finance,0,0,0,0
"Managers and specialists in marketing, advert., PR",0.023,0.531,0.813,3,Bachelor's degree,0,0,0,0,1,0,0,managers and specialists in marketing advert pr,519060,Business & Finance,0,0,0,0
Managers in education and related fields,0.006,0.34,0.825,3,Bachelor's degree,0,0,0,0,1,0,0,managers in education and related fields,549380,Education,0,0,0,0
Managers of medicine and health occupations,0.007,0.255,0.933,3,Bachelor's degree,0,0,0,0,1,0,0,managers of medicine and health occupations,565840,Healthcare,1,0,0,0
Managers of properties and real estate,0.81,0.072,0.662,3,High school diploma or equivalent,0,1,0,0,0,0,0,managers of properties and real estate,296640,Business & Finance,0,0,0,0
Funeral directors,0.2,0.018,0.572,3,Bachelor's degree,0,0,0,0,1,0,0,funeral directors,13120,Other,0,0,0,0
"Managers and administrators, n.e.c.",0.25,0.151,0.908,3,Bachelor's degree,0,0,0,0,1,0,0,managers and administrators n e c,1248080,Business & Finance,0,0,0,0
Accountants and auditors,0.94,0.924,0.79,3,Bachelor's degree,0,0,0,0,1,0,0,accountants and auditors,1448290,Technology,0,1,0,0
Insurance underwriters,0.99,0.93,0.653,3,Bachelor's degree,0,0,0,0,1,0,0,insurance underwriters,107820,Technology,0,1,0,0
Other financial specialists,0.33,0.674,0.753,3,Bachelor's degree,0,0,0,0,1,0,0,other financial specialists,882930,Business & Finance,0,0,0,0
Management analysts,0.13,0.261,0.91,3,Bachelor's degree,0,0,0,0,1,0,0,management analysts,893900,Business & Finance,0,0,0,0
"Personnel, HR, training, and labour rel. specialists",0.31,0.361,0.82,3,Bachelor's degree,0,0,0,0,1,0,0,personnel hr training and labour rel specialists,1418660,Business & Finance,0,0,0,0
Purchasing agents and buyers of farm products,0.87,0.987,0.654,3,Bachelor's degree,0,0,0,0,1,0,0,purchasing agents and buyers of farm products,NA,Sales,0,0,0,0
"Buyers, wholesale and retail trade",0.29,0.632,0.706,3,Associate's degree,0,0,0,1,0,0,0,buyers wholesale and retail trade,NA,Sales,0,0,0,0
"Purchasing managers, agents, and buyers, n.e.c.",0.03,0.501,0.799,3,Bachelor's degree,0,0,0,0,1,0,0,purchasing managers agents and buyers n e c,81240,Business & Finance,0,0,0,0
Business and promotion agents,0.24,0.094,0.556,3,Bachelor's degree,0,0,0,0,1,0,0,business and promotion agents,1142420,Sales,0,0,0,0
Construction inspectors,0.63,0.136,0.68,3,Bachelor's degree,0,0,0,0,1,0,0,construction inspectors,137210,Construction & Trades,0,0,1,0
"Inspectors and compliance officers, outside",0.08,0.322,0.931,3,Bachelor's degree,0,0,0,0,1,0,0,inspectors and compliance officers outside,397770,Other,0,0,0,0
Architects,0.018,0.708,0.969,3,Bachelor's degree,0,0,0,0,1,0,0,architects,130720,Technology,0,1,0,0
Aerospace engineers,0.017,0.142,0.998,3,Bachelor's degree,0,0,0,0,1,0,0,aerospace engineers,68440,Other,0,0,0,0
Metallurgical and materials engineers,0.021,0.282,0.996,3,Bachelor's degree,0,0,0,0,1,0,0,metallurgical and materials engineers,22770,Other,0,0,0,0
"Petroleum, mining, and geological engineers",0.15,0.428,0.97,3,Bachelor's degree,0,0,0,0,1,0,0,petroleum mining and geological engineers,25740,Other,0,0,1,0
Chemical engineers,0.017,0.528,1,3,Bachelor's degree,0,0,0,0,1,0,0,chemical engineers,20330,Other,0,0,0,0
Civil engineers,0.019,0.106,0.996,3,Bachelor's degree,0,0,0,0,1,0,0,civil engineers,355410,Other,0,0,0,0
Electrical engineers,0.1,0.082,0.941,3,Bachelor's degree,0,0,0,0,1,0,0,electrical engineers,188790,Other,0,0,0,0
Industrial engineers,0.029,0.185,0.965,3,Bachelor's degree,0,0,0,0,1,0,0,industrial engineers,350230,Other,0,0,0,0
Mechanical engineers,0.011,0.595,0.983,3,Bachelor's degree,0,0,0,0,1,0,0,mechanical engineers,286760,Other,0,0,1,0
"Engineers and other professionals, n.e.c.",0.014,0.243,0.979,3,Bachelor's degree,0,0,0,0,1,0,0,engineers and other professionals n e c,242220,Other,0,0,0,0
Computer systems analysts and computer scientists,0.011,0.1,0.929,3,Bachelor's degree,0,0,0,0,1,0,0,computer systems analysts and computer scientists,1116610,Technology,0,1,0,0
Operations and systems researchers and analysts,0.035,0.112,0.956,3,Bachelor's degree,0,0,0,0,1,0,0,operations and systems researchers and analysts,343400,Business & Finance,0,0,0,0
Actuaries,0.21,0.188,0.998,3,Bachelor's or Associate's degree,0,0,0,1,1,0,0,actuaries,28340,Other,0,0,0,0
Mathematicians and statisticians,0.134,0.547,0.913,3,Doctoral or professional degree,0,0,0,0,0,0,1,mathematicians and statisticians,265460,Other,0,0,0,0
Physicists and astronomists,0.071,0.659,1,3,Bachelor's degree,0,0,0,0,1,0,0,physicists and astronomists,22900,Other,0,0,0,0
Chemists,0.1,0.516,0.973,3,Bachelor's or Master's degree,0,0,0,0,1,1,0,chemists,83250,Other,0,0,0,0
Atmospheric and space scientists,0.67,0.024,0.966,3,Doctoral or professional degree,0,0,0,0,0,0,1,atmospheric and space scientists,8780,Other,0,0,0,0
Geologists,0.63,0.133,0.972,3,Doctoral or professional degree,0,0,0,0,0,0,1,geologists,23890,Other,0,0,0,0
"Physical scientists, n.e.c.",0.43,0.194,0.966,3,Doctoral or professional degree,0,0,0,0,0,0,1,physical scientists n e c,28300,Other,0,0,0,0
Agricultural and food scientists,0.053,0.231,0.971,3,Doctoral or professional degree,0,0,0,0,0,0,1,agricultural and food scientists,NA,Other,0,0,0,0
Biological scientists,0.113,0.303,0.999,3,Doctoral or professional degree,0,0,0,0,0,0,1,biological scientists,130910,Other,0,0,0,0
Foresters and conservation scientists,0.012,0.021,0.821,3,Associate's degree,0,0,0,1,0,0,0,foresters and conservation scientists,35240,Other,0,0,0,0
Medical scientists,0.005,0.276,0.998,3,Master's degree,0,0,0,0,0,1,0,medical scientists,167760,Healthcare,1,0,0,0
Physicians,0.004,0.091,0.992,3,Doctoral or professional degree,0,0,0,0,0,0,1,physicians,745240,Healthcare,1,0,0,0
Dentists,0.004,0.109,0.943,3,Master's degree,0,0,0,0,0,1,0,dentists,124730,Healthcare,1,0,0,0
Veterinarians,0.038,0.787,0.926,3,Doctoral or professional degree,0,0,0,0,0,0,1,veterinarians,80630,Other,0,0,0,0
Optometrists,0.14,0.164,0.966,3,Doctoral or professional degree,0,0,0,0,0,0,1,optometrists,41890,Other,0,0,0,0
Podiatrists,0.005,0.449,0.966,3,Bachelor's degree,0,0,0,0,1,0,0,podiatrists,9520,Other,0,0,0,0
Registered nurses,0.009,0.258,0.936,3,Bachelor's or Associate's degree,0,0,0,1,1,0,0,registered nurses,3282010,Healthcare,1,0,0,0
Pharmacists,0.012,0.431,0.946,3,Doctoral or professional degree,0,0,0,0,0,0,1,pharmacists,328870,Healthcare,1,0,0,0
